subject,partner,gender,files,valid files,proportion,gender
1,1,1,0,69,0,1
1,2,2,0,69,0,1
1,2,3,26,69,0.376811594,1
1,3,2,0,69,0,1
1,3,3,2,69,0.028985507,1
1,3,4,4,69,0.057971014,1
2,1,1,1,70,0.014285714,1
2,2,2,0,70,0,1
2,2,3,1,70,0.014285714,1
2,3,2,0,70,0,1
2,3,3,4,70,0.057142857,1
2,3,4,0,70,0,1
3,1,1,0,93.5,0,1
3,2,2,0,93.5,0,1
3,2,3,0,93.5,0,1
3,3,2,0,93.5,0,1
3,3,3,0,93.5,0,1
3,3,4,0,93.5,0,1
4,1,1,0,91,0,1
4,2,2,8,91,0.087912088,1
4,2,3,0,91,0,1
4,3,2,9,91,0.098901099,1
4,3,3,1,91,0.010989011,1
4,3,4,5,91,0.054945055,1
6,1,1,0,75,0,1
6,2,2,12,75,0.16,1
6,2,3,8,75,0.106666667,1
6,3,2,0,75,0,1
6,3,3,7,75,0.093333333,1
6,3,4,4,75,0.053333333,1
7,1,1,0,64,0,1
7,2,2,0,64,0,1
7,2,3,6,64,0.09375,1
7,3,2,0,64,0,1
7,3,3,6,64,0.09375,1
7,3,4,5,64,0.078125,1
8,1,1,1,58,0.017241379,1
8,2,2,0,58,0,1
8,2,3,3,58,0.051724138,1
8,3,2,1,58,0.017241379,1
8,3,3,3,58,0.051724138,1
8,3,4,4,58,0.068965517,1
9,1,1,0,63,0,1
9,2,2,5,63,0.079365079,1
9,2,3,11,63,0.174603175,1
9,3,2,0,63,0,1
9,3,3,1,63,0.015873016,1
9,3,4,3,63,0.047619048,1
10,1,1,0,90,0,1
10,2,2,0,90,0,1
10,2,3,6,90,0.066666667,1
10,3,2,0,90,0,1
10,3,3,13,90,0.144444444,1
10,3,4,2,90,0.022222222,1
11,1,1,0,104,0,1
11,2,2,0,104,0,1
11,2,3,3,104,0.028846154,1
11,3,2,0,104,0,1
11,3,3,15,104,0.144230769,1
11,3,4,0,104,0,1
12,1,1,0,89,0,1
12,2,2,10,89,0.112359551,1
12,2,3,14,89,0.157303371,1
12,3,2,0,89,0,1
12,3,3,15,89,0.168539326,1
12,3,4,6,89,0.06741573,1
13,1,1,0,134,0,1
13,2,2,3,134,0.02238806,1
13,2,3,13,134,0.097014925,1
13,3,2,0,134,0,1
13,3,3,16,134,0.119402985,1
13,3,4,0,134,0,1
14,1,1,0,98,0,1
14,2,2,13,98,0.132653061,1
14,2,3,6,98,0.06122449,1
14,3,2,3,98,0.030612245,1
14,3,3,0,98,0,1
14,3,4,0,98,0,1
15,1,1,3,146.5,0.020477816,1
15,2,2,4,146.5,0.027303754,1
15,2,3,1,146.5,0.006825939,1
15,3,2,2,146.5,0.013651877,1
15,3,3,36,146.5,0.245733788,1
15,3,4,5,146.5,0.034129693,1
17,1,1,0,134,0,2
17,2,2,17,134,0.126865672,2
17,2,3,42,134,0.313432836,2
17,3,2,7,134,0.052238806,2
17,3,3,3,134,0.02238806,2
17,3,4,5,134,0.037313433,2
19,1,1,0,83,0,1
19,2,2,1,83,0.012048193,1
19,2,3,3,83,0.036144578,1
19,3,2,0,83,0,1
19,3,3,36,83,0.43373494,1
19,3,4,6,83,0.072289157,1
20,1,1,4,79.5,0.050314465,1
20,2,2,4,79.5,0.050314465,1
20,2,3,14,79.5,0.176100629,1
20,3,2,1,79.5,0.012578616,1
20,3,3,10,79.5,0.125786164,1
20,3,4,6,79.5,0.075471698,1
21,1,1,0,80,0,2
21,2,2,0,80,0,2
21,2,3,10,80,0.125,2
21,3,2,0,80,0,2
21,3,3,4,80,0.05,2
21,3,4,2,80,0.025,2
22,1,1,0,100,0,1
22,2,2,9,100,0.09,1
22,2,3,18,100,0.18,1
22,3,2,0,100,0,1
22,3,3,0,100,0,1
22,3,4,3,100,0.03,1
23,1,1,7,66.5,0.105263158,1
23,2,2,0,66.5,0,1
23,2,3,3,66.5,0.045112782,1
23,3,2,0,66.5,0,1
23,3,3,0,66.5,0,1
23,3,4,1,66.5,0.015037594,1
24,1,1,0,38,0,1
24,2,2,7,38,0.184210526,1
24,2,3,1,38,0.026315789,1
24,3,2,0,38,0,1
24,3,3,2,38,0.052631579,1
24,3,4,7,38,0.184210526,1
25,1,1,0,92,0,2
25,2,2,8,92,0.086956522,2
25,2,3,0,92,0,2
25,3,2,1,92,0.010869565,2
25,3,3,1,92,0.010869565,2
25,3,4,0,92,0,2
26,1,1,0,52,0,2
26,2,2,0,52,0,2
26,2,3,3,52,0.057692308,2
26,3,2,1,52,0.019230769,2
26,3,3,0,52,0,2
26,3,4,1,52,0.019230769,2
27,1,1,0,137,0,1
27,2,2,10,137,0.072992701,1
27,2,3,24,137,0.175182482,1
27,3,2,0,137,0,1
27,3,3,3,137,0.02189781,1
27,3,4,4,137,0.02919708,1
28,1,1,0,31,0,1
28,2,2,0,31,0,1
28,2,3,0,31,0,1
28,3,2,0,31,0,1
28,3,3,0,31,0,1
28,3,4,0,31,0,1
29,1,1,1,49,0.020408163,1
29,2,2,0,49,0,1
29,2,3,5,49,0.102040816,1
