subject,english-words,total,one,two,three,four,other-speak,other-read,other-write,other-under,age-exposed-eng,age-exposed-other,current-expos-other,current-use-other,time-speak-eng-family,time-speak-eng-friends,time-speak-other-family,time-speak-other-friends,cs-1,cs-2,cs-3,cs-4,number-eng-files,propengonly,apt,classroom,intransit,intransitother,resto,shopping,otherpublic
1,2136,80.05617978,6.554307116,2.34082397,34.64419476,36.51685393,6,1,1,6,7,4,5,8,1,12,2,0,2,2,2,3,53,0.768115942,0.482758621,0,0,0,0.8,0,0
2,1313,3.808073115,2.284843869,0,0.761614623,0.761614623,7,7,7,7,5,4,7,8,4,6,8,6,3,4,4,3,44,0.628571429,0,0,0.16,0,0.285714286,1,0.125
3,54,0,0,0,0,0,6,6,6,6,10,1,10,10,0,2,5,5,3,3,3,2,2,0.021390374,0,0,0,0,0,0,0
4,2897,14.84294097,1.380738695,0,10.01035554,3.451846738,3,3,3,3,1,14,2,2,15,15,0,0.2,0,0,2,1,96,1.054945055,0.290322581,0.166666667,0,0,0.5,0,0.153846154
6,2265,29.13907285,7.505518764,0.441501104,8.830022075,12.36203091,5,3,3,7,3,2,5,4,5,10,2,0,1,1,1,1,73,0.973333333,0.333333333,0.2,0.714285714,0,0,0,0.305555556
7,2072,19.30501931,6.274131274,0.482625483,7.239382239,5.308880309,7,5,3,7,1,1,10,5,6,12,6,0,3,3,3,3,48,0.75,0.238095238,0,1.5,0,0,0.2,0.424242424
8,781,29.44942382,14.08450704,1.280409731,6.402048656,7.682458387,6,6,5,6,,3,8,9,,,8,2,2,2,3,3,36,0.620689655,0.125,0.666666667,1,0,0.25,0,0.15
9,1573,28.60775588,5.721551176,3.178639542,7.628734901,12.07883026,2,4,2,5,0,11,4,1,12,5,0,0,1,0,0,2,79,1.253968254,0.266666667,0.5,1.5,0,0.4,0,0.5
10,3149,14.92537313,2.858050175,0.317561131,8.574150524,3.175611305,7,5,4,7,6,5,6,8,2,14,14,1,3,4,4,4,90,1,0.23255814,0,0.842105263,0,0.142857143,0,0
11,1912,14.64435146,2.615062762,2.615062762,2.615062762,6.79916318,4,5,3,2,1,13,1,0,16,16,0,0,0,0,0,0,99,0.951923077,0.220588235,0.5,0,0,0.2,0,0
12,2719,45.97278411,7.355645458,3.677822729,15.81463773,19.12467819,5,1,1,5,3,3,2,5,2,8,1,0,4,4,4,4,85,0.95505618,0.446808511,0.142857143,0.875,0,0,0,0.4375
