Participant,File,Utterance #,Transcript,Coding
EAR_2.xlsx,7,1,ten psychological stress dude look bled to death that's so mean they killed him that mean how do people do that like* ew ,
EAR_2.xlsx,87,,well from what it sounds like _ so what it sounds like i think um you could say like* due to time commitment and um _ my schedule i don't i will not be able to accept my bid um but something along the lines of something like that i just need a clear answer yeah mhm ,
EAR_2.xlsx,124,,really did you say happy bday why remember when my grandpa when everyone visited my grandpa at least three times except yeah no fucking sign of irwin and he was like* what did he say mhm damn even brian every fucking day he would go with us every day brian was there with us ,
EAR_2.xlsx,127,,this is fucking heavy oh my god i almost thought that there was a spider web in this one that she went to mother daughter dance mhmm no she had her earrings on she was like* i went to mother daughter ,
EAR_2.xlsx,206,,peanut butter i don't think we're gonna be able to get out of this what emoji should i put this one and she's like* i guess not what the fuck is that one tube hero ,
EAR_2.xlsx,208,,i feel like* this shits gonna fucking fly out huh ew oh my god hell no that was the fucking worst thing ever ,
EAR_12.xlsx,2,,ugh okay it's like* whatever i think it's like* ,
EAR_12.xlsx,3,,food he needs a freezer okay and then after like* when he eats his food he like* microwaves it and then he doesn't finish and he just ,
EAR_12.xlsx,4,,dude imma send it _ yeah yeah i feel like* this is so mean_ shoot why do i feel so bad ugh ugh fuck i sent it ,
EAR_12.xlsx,5,,so weird what if he picks up oh i thought we had to do that for her cuz my friend had to do that he had to like* record and yeah and it's like* cringeworthy ,
EAR_12.xlsx,7,,oh actually you don't have to go to class right are we late what jason oh ok fuck i feel so bad i didn't even no no i honestly don't like* yeah i don't know why ,
EAR_12.xlsx,22,,about what like the music wait what was going on nothing it was just you know when we were in the room um nick's phone was connected to the tv remember and nick was playing like* romance music wait so what happened between you and hansen no just tell me why does ed like you no wait what happened wait ,
EAR_12.xlsx,23,,there's so many like* the breadth that i need to do yeah ,
EAR_12.xlsx,25,,me and my friend didn't want the hallway we're always scared someone's hiding behind there cuz our housemates like* scaring people like* we prank each other so that's why we don't have that not like* someone's there_ we're out to get you yeah ,
EAR_12.xlsx,29,,cuz like* i was just cuz when he came over and my friend was like* 'dude what the heck like* what're you doing here' he was just like* 'oh i know stamp' he was just like* 'oh yeah i know i see you in class but i just don't say hi' so my friend said that to him and and it just stuck in my head like* you know like* if he's a cool dude and like* you like* see him like* you can say hi right but like* he's just like* 'oh yeah i see you but i just don't say hi' like* he told him that and i'm like* oh okay savage but like* whatever guys just do your thing and then one day like* um finals finals week like* i was just like* okay like* ,
EAR_12.xlsx,31,,i feel like* wait yeah that's how it usually starts off about what oh so she's dating your ex-boyfriend ,
