participant,Total English Types,Total Non-English Types,Unique Non-English Types,English Tokens,Non-English Tokens,Total Tokens,Englis types per 500 tokens,Non-English Types per 500 tokens,English types per 1000 tokens,Non-English Types per 1000 tokens,Englis types per 2000 tokens,Non-English Types per 2000 tokens,Number of English speech files,Number of non-English speech files,average number of words per English speech sample,average number of words per non-English speech sample,Number of valid speech files
2,416,120,52,1313,208,1521,223,120,358,120,416,120,71,25,18.492957746478872,8.32,232
12,544,31,14,2719,61,2780,176,31,287,31,452,31,88,6,30.897727272727273,10.166666666666666,257
83,225,111,69,553,233,786,205,111,225,111,225,111,38,11,14.552631578947368,21.181818181818183,219
28,15,167,162,16,341,357,15,167,15,167,15,167,6,26,2.6666666666666665,13.115384615384615,220
56,479,30,11,1792,42,1834,206,30,324,30,479,30,83,9,21.59036144578313,4.666666666666667,311
76,652,105,29,3063,181,3244,201,105,338,105,517,105,100,20,30.63,9.05,259
37,449,0,0,1685,0,1685,184,0,307,0,449,0,81,0,20.80246913580247,nan,186
60,224,1,1,552,1,553,209,1,224,1,224,1,50,1,11.04,1.0,271
24,326,6,3,1137,6,1143,184,6,294,6,326,6,39,1,29.153846153846153,6.0,162
33,445,28,13,1712,42,1754,207,28,325,28,445,28,50,4,34.24,10.5,198
25,414,160,83,1728,354,2082,204,160,297,160,414,160,74,26,23.35135135135135,13.615384615384615,238
61,155,238,189,235,534,769,155,228,155,238,155,238,36,31,6.527777777777778,17.225806451612904,119
36,479,0,0,1445,0,1445,216,0,368,0,479,0,71,0,20.35211267605634,nan,220
77,367,87,35,1321,140,1461,189,87,316,87,367,87,47,9,28.106382978723403,15.555555555555555,270
57,686,3,1,3112,3,3115,204,3,316,3,524,3,135,2,23.05185185185185,1.5,239
29,390,25,11,1318,44,1362,202,25,328,25,390,25,49,5,26.897959183673468,8.8,219
41,616,20,5,2717,30,2747,217,20,327,20,512,20,104,3,26.125,10.0,298
82,260,184,100,607,432,1039,227,184,260,184,260,184,37,16,16.405405405405407,27.0,173
13,686,69,13,3287,91,3378,203,69,316,69,508,69,131,9,25.091603053435115,10.11111111111111,243
3,39,542,518,54,1831,1885,39,205,39,356,39,542,15,88,3.6,20.806818181818183,180
70,453,0,0,1611,0,1611,203,0,333,0,453,0,65,0,24.784615384615385,nan,225
8,253,169,99,781,335,1116,190,169,253,169,253,169,38,22,20.55263157894737,15.227272727272727,172
66,277,0,0,861,0,861,201,0,277,0,277,0,44,0,19.568181818181817,nan,189
22,614,1,0,3174,1,3175,192,1,292,1,472,1,97,1,32.72164948453608,1.0,160
34,504,33,9,2138,45,2183,205,33,321,33,475,33,89,3,24.02247191011236,15.0,165
4,617,0,0,2897,0,2897,203,0,329,0,490,0,92,0,31.48913043478261,nan,162
14,602,51,13,2761,73,2834,182,51,300,51,488,51,97,9,28.463917525773194,8.11111111111111,182
46,526,224,95,2043,552,2595,193,208,322,224,516,224,77,29,26.532467532467532,19.03448275862069,182
50,702,3,1,2653,5,2658,209,3,346,3,567,3,97,2,27.350515463917525,2.5,318
47,302,5,2,829,5,834,211,5,302,5,302,5,42,1,19.738095238095237,5.0,274
15,803,142,48,4257,275,4532,203,142,304,142,476,142,143,23,29.76923076923077,11.956521739130435,257
23,467,169,75,1758,342,2100,187,169,312,169,467,169,65,11,27.046153846153846,31.09090909090909,218
67,198,0,0,449,0,449,198,0,198,0,198,0,19,0,23.63157894736842,nan,60
71,627,45,18,2759,65,2824,195,45,325,45,523,45,97,5,28.443298969072163,13.0,237
9,439,0,0,1573,0,1573,210,0,334,0,439,0,77,0,20.428571428571427,nan,224
19,683,0,0,3096,0,3096,212,0,319,0,518,0,85,0,36.423529411764704,nan,157
48,347,12,7,1038,15,1053,189,12,333,12,347,12,34,4,30.529411764705884,3.75,134
20,633,0,0,3100,0,3100,174,0,298,0,479,0,80,0,38.75,nan,201
64,473,111,66,1817,249,2066,201,111,323,111,473,111,67,11,27.119402985074625,22.636363636363637,182
72,311,49,19,846,71,917,215,49,311,49,311,49,67,6,12.626865671641792,11.833333333333334,229
52,410,0,0,1391,0,1391,223,0,330,0,410,0,57,0,24.403508771929825,nan,183
44,655,61,19,3130,117,3247,222,61,331,61,506,61,108,9,28.98148148148148,13.0,317
68,975,16,6,5055,27,5082,220,16,358,16,561,16,168,1,30.089285714285715,27.0,223
6,555,0,0,2265,0,2265,202,0,309,0,515,0,73,0,31.027397260273972,nan,134
7,510,147,49,2072,247,2319,199,147,326,147,498,147,62,15,33.41935483870968,16.466666666666665,143
17,1158,2,0,5974,2,5976,213,2,353,2,584,2,131,1,45.603053435114504,2.0,263
69,264,0,0,633,0,633,228,0,264,0,264,0,42,0,15.071428571428571,nan,237
45,627,66,22,3021,116,3137,197,66,307,66,472,66,104,3,29.048076923076923,38.666666666666664,263
53,354,0,0,1092,0,1092,218,0,339,0,354,0,46,0,23.73913043478261,nan,112
73,192,44,23,445,61,506,192,44,192,44,192,44,39,14,11.41025641025641,4.357142857142857,121
65,422,41,18,1402,63,1465,227,41,344,41,422,41,51,2,27.49019607843137,31.5,176
21,372,0,0,1045,0,1045,226,0,363,0,372,0,78,0,13.397435897435898,nan,199
49,319,132,70,942,247,1189,220,132,319,132,319,132,61,12,15.442622950819672,20.583333333333332,263
54,344,33,8,987,50,1037,220,33,344,33,344,33,37,1,26.675675675675677,50.0,262
42,385,26,13,1593,35,1628,179,26,293,26,385,26,78,2,20.423076923076923,17.5,233
81,260,28,12,700,38,738,213,28,260,28,260,28,25,4,28.0,9.5,44
39,705,1,0,3657,2,3659,226,1,351,1,491,1,75,1,48.76,2.0,165
10,681,65,19,3149,101,3250,210,65,338,65,544,65,92,4,34.22826086956522,25.25,210
78,443,2,1,1398,2,1400,230,2,356,2,443,2,55,1,25.418181818181818,2.0,229
58,505,50,16,2082,71,2153,208,50,345,50,495,50,63,5,33.04761904761905,14.2,197
30,608,0,0,2517,0,2517,202,0,330,0,523,0,100,0,25.17,nan,242
26,295,105,50,951,153,1104,196,105,295,105,295,105,46,18,20.67391304347826,8.5,109
62,384,206,115,1418,465,1883,197,206,315,206,384,206,38,16,37.31578947368421,29.0625,43
35,474,0,0,1702,0,1702,216,0,341,0,474,0,95,0,17.91578947368421,nan,304
74,3,98,98,7,158,165,3,98,3,98,3,98,2,13,3.5,12.153846153846153,183
75,767,145,43,3340,334,3674,209,145,351,145,550,145,122,10,27.37704918032787,33.4,254
63,72,280,239,135,881,1016,72,205,72,280,72,280,16,22,8.4375,40.04545454545455,137
